comment,topic,cluster,pred_topic
doritos commercial dog best,99,68,Epic Doritos Superbowl commercials
king speech oscar nomination beverly hill calif british monarchy saga king speech,88,39,Awards season: Oscars and SAG
mama texting drive damn raining,104,61,Safe driving pledges
network anchor leave egypta amid crackdown increased violence intimidation directed journalist,66,22,Egypt-related political news
deadly suicide bombing hit moscow airport people killed injured suicide bomb blast mo,36,17,Moscow airport bombing
yemeni president won seek term,79,14,Yemen protest news
court rule rahm emanuel ineligible chicago mayoral race law il chicago rahm,21,46,Rahm Emanuel ballot case
king speech honored santa barbara fest ap,88,45,Awards season: Oscars and SAG
supreme court fiancee complaining worker protected retaliation,89,18,Job market and unemployment rate
full sag award movie winner,88,33,Awards season: Oscars and SAG
poll gop catch dems social medium younger internet user pew,45,63,Social media for politics
saving house heating cooling,27,77,Energy saving tips
paul rudd jesse peretz bushy beard sundance comedy idiot brother paulrudd jesseperetz sundance,96,59,Celebrity gossip and pop culture
hugochavez venezuelan commemorate democracy day january rebelleft,56,20,Hugo Chávez’s presidency
weight loss diet plan living healthy acai berry,55,71,Weight loss and acai berry products
yikes egyptian army start rounding journalist,66,25,Egypt-related political news
rep giffords fitness level bodes well recovery add diet loaded fruit,37,71,Weight loss and acai berry products
check delicious chicken recipe,87,16,Chicken recipes and food ideas
sag award winner list king speech fighter boardwalk empire rack trophy mawu,88,45,Awards season: Oscars and SAG
aurobindo pharma receives usfda approval levofloxacin tablet news,58,24,FDA drug approvals
keith olbermann current tv hosting chief news officer,30,62,Keith Olbermann’s move to Current TV
sign pledge text drive,104,61,Safe driving pledges
facebook privacy setting jour,95,53,Facebook and privacy settings
doritos wit homo commercial time wit dat la superbowl,99,68,Epic Doritos Superbowl commercials
christina aguilera screw national anthem,75,67,Christina Aguilera’s national anthem mishap
court third party sue retaliation case,89,76,Healthcare reform legal battles
mte time cpj journalist targeted egypt,66,25,Egypt-related political news
france fox piven defies death threat taunt anchorman glenn beck,40,82,Social media for politics
king speech won top prize weekend hollywood actor director securing standing,88,39,Awards season: Oscars and SAG
gasland oscar nod draw industry ire gasland documentary detail environmental impact process called fra,109,59,Natural disasters and climate change
unemployment rise state fall ap ap unemployment rate rose hawaii alohatone,26,26,Job market and unemployment rate
southern oregon fly fishing club,60,66,Fishing
lower credit card debt,74,57,Consumer debt consolidation
christina aguilera screw national anthem super bowl xlv judge,75,67,Christina Aguilera’s national anthem mishap
watching rite,14,36,Movies on exorcism
fishing warm weather fish cold front litening fish feed read fishingreports,60,66,Fishing
weight loss diet plan living healthy acai berry people sticking,55,71,Weight-loss diets and acai berry
firth portman bale leo win screen actor prize king speech won best actor trophy sunday col,88,45,Awards season: Oscars and SAG
weight loss diet plan living healthy acai berry adi news acai berry promote weight loss imp,55,71,Weight loss and acai berry products
tsa body scanner outline private part,25,11,TSA body scanners
starbucks trenta size hold entire bottle wine god bless america,62,19,Starbucks Trenta cup controversy
michelle obama coming atlanta bob keefe washington lady michelle obama planning travel,65,47,Lady Michelle Obama fitness campaign
ki medium journalist egypt targeted beaten detained mubarak support,66,25,Egypt-related political news
wind blowing east amazing fishing nearby island gonna plan trip catch barracuda,60,28,Fishing
appropriate apple shareholder demanding steve job succession plan macabre tone,106,51,Steve Jobs’ health and impact on Apple
test case malaysia selva somali pirate captured international water malay,107,58,Pirates and maritime security
ncis bomb love,77,47,Crime-solving TV shows
hu jintao visit fails thaw chinese relation north korea,61,42,Natural disasters and climate change
novak won australian open champion gotta beat champion,71,60,Australian Open tennis championship
avani news gop senator seek change born citizen usa today,82,26,Social media for politics
fantastic news gt king speech lead oscar field nomination,88,39,Awards season: Oscars and SAG
poseidon kia commercial awesome superbowl,99,48,Mercedes Benz and Kia Superbowl commercials
doritos commercial redemption superbowl,99,68,Epic Doritos Superbowl commercials
christina fail ulera ear bleed time hear sing fucking national anthem forshame,75,65,Christina Aguilera’s national anthem mishap
power social medium,45,40,Social media for politics
poll gop catch dems social medium younger internet user pew social medium,45,63,Social media for politics
fishing find freshwater fishing lure cheap ebay buy,60,81,Fishing events and gear
king speech top directing prize,88,45,Awards season: Oscars and SAG
sundance time catch celebrity sighting glimpse going sundance festival,96,23,Sundance Film Festival
superbowl commercial winner vw vader xoom heard price bridgestone beaver,99,84,Super Bowl ad reviews
dtn hollywood king speech dominates oscar nomination feedburner share friend ente,88,39,Awards season: Oscars and SAG
white stripe officially call quits,17,64,White Stripe breakup announcement
geez hide taco bell beef,20,3,Taco Bell lawsuit
christina aguilera fumble national anthem christina aguilera flubbed belted nat,75,65,Christina Aguilera’s national anthem mishap
health care litigation insurance mandate,22,35,Healthcare reform legal battles
kardashian family,72,88,Kardashians
problem doritos commercial punchline start superbowl,99,68,Epic Doritos Superbowl commercials
kubicas injury major setback renaults assault title year petrov reserve driver will struggle pt,11,20,Concussions and sports injuries
colorado river colorado fly fishing condition report kynd,60,66,Fishing
doritos commercial super bowl banned sexy ban,99,68,Epic Doritos Superbowl commercials
tennis murray set djokovic final andy murray battle reach australian open men single,71,60,Australian Open tennis championship
changing facebook place privacy setting roll facebook place location glo,95,53,Facebook and privacy settings
offbeat idea eliminate credit card debt month offbeat idea eliminate credit card,74,57,Consumer debt consolidation
time superbowl start time start planning wing recipe great wing recipe,87,16,Super Bowl ad reviews
greatest super bowl commercial bridgestone reply youtubeadblitz superbowl sb,99,84,Super Bowl ad reviews
seth godin news texting working shouldn text driving talk cell phone argu,104,82,Safe driving pledges
giffords condition upgraded good,37,29,Charlie Sheen controversies
breaking news jo murder accused remanded,86,76,Joanna Yeates murder case
indian navy sink mother ship somali pirate arabian sea held fifteen pirate custody,107,58,Pirates and maritime security
cnn jesse ventura slam tsa lawsuit count jesse ventura flier don junk touched,25,56,Jesse Ventura vs TSA lawsuit
acai berry weight loss diet plan healthy weight reduction number diet plan,55,71,Weight-loss diets and acai berry
anti government protest spilling yemen business,79,21,Middle East protests
watched extreme makeover edition awsome lt,104,77,Extreme Makeover show
debt consolidation augment debt problem finance money,74,57,Consumer debt consolidation
obama name press secretary,44,26,Lady Michelle Obama fitness campaign
don text drive remember alex brown,104,86,Safe driving pledges
amtrak senator ny nj rail tunnel plan york reuters amtrak announced plan monday,23,26,Natural disasters and climate change
vooov starbucks trenta cup hold entire bottle wine,62,19,Starbucks Trenta cup controversy
worldchanging yemen president facing protest will seek extend term expires,79,14,Yemen protest news
laying horse betfair route,94,73,Horse racing and betting tips
don agree hines ward nfl concussion hypocrisy,84,49,Concussions and sports injuries
pledge text drive,104,61,Safe driving pledges
doritos super bowl commercial funny second going overboard,99,68,Epic Doritos Superbowl commercials
best buy launch electronics buy program,85,1,Electronics and gadgets
watch video learn protect privacy identity personal safety facebook profile,95,53,Facebook and privacy settings
interesting community fishing derby feature angler ice lt lt,60,8,Fishing events and gear
hosting live chat concussion cdcheadsup rehearsed emergency plan chat,84,82,Concussions and sports injuries
dtn hollywood charlie sheen troubled timeline charlie sheen trouble pretty alw,68,12,Charlie Sheen controversies
acai berry diet linda acai berry diet acai berry weightcrushers ambria dealcenter,55,27,Weight-loss diets and acai berry
judge rule health care law,22,35,Healthcare reform legal battles
aljazeera thousand protest jordan,38,85,Middle East protests
thousand march yemen president middle east independent,79,14,Middle East protests
superbowl commercial top number gt force volkswagen,99,37,Super Bowl commercials
bbc news king speech lead oscar field,88,39,Awards season: Oscars and SAG
thrilled colin firth won best actor sag award well king speech best ensemble woo hoo,88,4,Awards season: Oscars and SAG
journalist attacked cairo journalist covering scene ground target,66,25,Egypt-related political news
random concept explicit acai berry weight full excitement,55,9,Weight loss and acai berry products
acai berry effective weight loss pill current health article tafdropdn blue acai berry effective,55,27,Weight loss and acai berry products
egyptian army start rounding journalist,66,25,Egypt-related political news
fda approves premature birth drug philadelphia inquirer share friend top news health,58,24,FDA drug approvals
truth chalupa ain beef alabama law firm claim lawsuit taco bell false adv,20,3,Taco Bell lawsuit
domino working well yemen call emergency meeting ahead protest cnn,79,21,Yemen protest news
best way save energy live energy efficient save mo,27,77,Energy saving tips
biebs switch body jon stewart,63,30,Urban gossip and celebrity sightings
mastering big chill outdoors fishing news ice fishing kind,60,8,Fishing events and gear
king speech lead oscar nomination fact wrong king speech impresse,88,39,Awards season: Oscars and SAG
pepsi promotes domestic violence crime superbowl ad,99,44,Pepsi Max and Doritos ads
suicide bomber kill russia biggest airport,36,17,Moscow airport bombing
loved ad chrysler eminem super bowl commercial imported detroit,99,5,Super Bowl commercials
treasure coast fishing report jan trout action good river angler sight cast,60,66,Fishing events and gear
djokovic thrash murray win australian open,71,60,Australian Open tennis championship
job wrong place memo president dear president state union ad,32,18,Urban gossip and celebrity sightings
reminder beware identity theft harm credit tip protect identity,108,10,Identity theft concerns
dozen killed moscow airport suicide bombing noticias,36,17,Moscow airport bombing
nice check video chrysler eminem super bowl commercial imported detroit,99,41,Super Bowl commercials
link superbowl ad motorola xoom tablet parody apple ad release feb,99,1,Motorola Xoom Super Bowl ad
supermarket diet easy recipe quick healthy meal good lose weight delicious easy coo,87,71,Weight-loss diets and acai berry
change security setting facebook protect account international business time,95,38,Facebook and privacy settings
blemish org ten thousand turn rival rally yemen los angeles time reuterstens thousand turn,79,85,Middle East protests
television network cbs write episode half men include charlie sheen,68,12,Charlie Sheen controversies
chavez mark year office venezuelan president hugo chavez mark year power promising news,56,20,Hugo Chávez’s presidency
youtube video brisk eminem super bowl commercial,99,41,Super Bowl commercials
whitneyport king speech tom hooper reign supreme director guild award,88,45,Awards season: Oscars and SAG
watch coca cola superbowl commercial youtube ad blitz channel,99,44,Super Bowl ad reviews
simple tip holding white koi fish pond,60,74,Aquariums and pet care
sign text drive,104,61,Safe driving pledges
super bowl xlv christina aguilera repeat national anthem espn,75,67,Christina Aguilera’s national anthem mishap
motorola post earnings android,81,1,Electronics and gadgets
governor cuomo budget proposal eliminates funding healthy family york,19,32,Job market and unemployment rate
financial aid proper method financial aid education applying financial aid financial aid essay,97,57,College financial aid insights
king speech boardwalk empire score sag award big weekend king speech director,88,45,Awards season: Oscars and SAG
watching blue blood cbs,77,36,Crime-solving TV shows
south korea negotiating delivery somali breaking news south korea negotiating delivery,107,26,Pirates and maritime security
mercedes benz super bowl commercial,99,48,Mercedes Benz and Kia Superbowl commercials
ap source obama pick biden spokesman white house press secretary,44,26,Invalid
pepsi max people laughing commercial kind laugh american idol audition superbowl,99,44,Pepsi Max and Doritos ads
amazing gah sad cry eye text drive watching will,104,61,Safe driving pledges
star head sundance,96,23,Sundance Film Festival
malaysia hold somali pirate saving ship,107,58,Pirates and maritime security
teepeecreek ten thousand march yemen president ap teepeecreek,79,85,Middle East protests
colorado nation scammed state denver coloradan receive scam invitation,108,82,Identity theft concerns
king speech true grit lead oscar nomination,88,39,Awards season: Oscars and SAG
best weight loss pill acai berry advantage king bop loved appreciated solely lucky en,55,84,Weight-loss diets and acai berry
sedative free whale fishing researcher tactic save endangered whale tangled,60,28,Fishing
chicken taquitos recipe epicurious,87,16,Chicken recipes and food ideas
perez hilton christina aguilera mess lyric national anthem super bowl ooop hitechcj,75,67,Christina Aguilera’s national anthem mishap
kia optimum epic ride super bowl commercial nfl fanhouse,99,48,Mercedes Benz and Kia Superbowl commercials
spending cut toy library jeopardy,51,32,Job market and unemployment rate
christina aguilera mangle national anthem super bowl xlv superbowlxlv fb,75,67,Christina Aguilera’s national anthem mishap
kardashians suicide bomb fuck outta shit hate entire internet,72,0,Kardashians
star head sundance,96,23,Sundance Film Festival
will egypt facebook powered revolution hard heel tunisian protest,45,25,Social media for politics
sunday episode kktny crazy,72,34,Kardashians
politics governor cuomo budget seek reverse sham york reuters york governor,19,32,Invalid
el talent king speech cast honored santa barbara international film,88,45,Awards season: Oscars and SAG
joanna yeates murder accused vincent tabak remanded custody vincent tabak man accused murdering,86,76,Joanna Yeates murder case
opinion taco bell suit expose ignorance meat shortly news taco bell lawsuit ou,20,3,Taco Bell lawsuit
energy money office saving,27,77,Energy saving tips
chicken brick mark bittman simple delicious recipe mark bittman ny time column,87,16,Chicken recipes and food ideas
thought sbux couldn fantastic starbucks huge trenta cup hold entire bottle wine,62,19,Starbucks Trenta cup controversy
acacia berry diet acacia berry acai weight loss hcg diet plan happened account parti,55,71,Weight loss and acai berry products
regular folk united responds ruling obamacare tcot mdreps hcr aacons bookerrising,22,35,Healthcare reform legal battles
beaumont quartet scholarship beaumont high girl signed letter intent college,97,47,College scholarships and financial aid
perfect super bowl chili,87,83,Chicken recipes and food ideas
aggressive tackling learn lasting damage concussion teen,84,49,Concussions and sports injuries
gasland nominated academy award coga defends,109,54,Natural disasters and climate change
black swan good movie melodramatic natalie portman phenominal shoe best actress,101,54,Black Swan and Natalie Portman
supreme court nasa intrusive background check,89,26,Identity theft concerns
aguilera fluff super bowl anthem,75,67,Christina Aguilera’s national anthem mishap
mynews oscar nomination king speech real contender king speech brit mynews,88,39,Awards season: Oscars and SAG
mob democracy facebook twitter youtube revolution politics daily,45,63,Social media for politics
mt committee protect journalist rpts st journo die covering egypt jan,66,7,Egypt-related political news
child safety fredericksburg three key preventing bully encounter,90,49,Safe driving pledges
shoutout lmao kim kardashian real live slut,72,0,Kardashians
told thin ready burn fat,55,79,Weight-loss advice and fat-burning foods
told trim fat ready check burn fat,55,79,Weight-loss advice and fat-burning foods
nominate shorty award food love food ve eating mcds year yea,78,16,Fast food and immigration policies
white stripe breakup ain,17,64,White Stripe breakup announcement
mike iaconelli bass fishing ike hook big bass difficult situation video ratin,60,81,Fishing
cabo san lucas cabo san lucas fishing report january early don plan making dinner,60,66,Fishing
briton dead moscow blast british citizen people killed bomb attack moscow,36,17,Moscow airport bombing
standing bully employee leading example excellent article,90,49,Job market and unemployment rate
excess best omg starbucks huge trenta sized drink hold entire bottle wine,62,19,Starbucks Trenta cup controversy
watching yemen,79,21,Yemen protest news
court put emanuel chicago mayor race,21,46,Rahm Emanuel ballot case
rite movie clip,14,36,Movies on exorcism
copy obama birth certificate bill pass xmnr tcot gop,41,26,Social media for politics
american wine glass hairpin starbucks trenta cup hold entire bottle wine,62,19,Starbucks Trenta cup controversy
facebook privacy setting user,95,53,Facebook and privacy settings
liberty group back cuomo budget suffolk county project fiscal reform chance tcot nygop,19,32,Healthcare reform legal battles
state budget school risk toddler yonkers longer attend pre school,19,49,Job market and unemployment rate
countdown rahmageddon,21,82,Rahm Emanuel ballot case
global warming update bizarre weather destroyed crop whale,29,42,Natural disasters and climate change
rite movie review horror movie claiming inspired true event including amityville horror,14,36,Movies on exorcism
nytimes federal judge rule health law violates news breakingnews,22,35,Healthcare reform legal battles
colorado nation scammed state identity theft protection expert warn informatio,108,10,Identity theft concerns
sideline test detect concussion minute foxnews,84,11,Concussions and sports injuries
king speech win best film gong king speech win best film accolade producer guild ameri,88,45,Awards season: Oscars and SAG
kate bosworth happy sundance day,96,72,Sundance Film Festival
donald rumsfeld reflects writing memoir rumsfeld began thinking book unknown,16,42,Celebrity gossip and pop culture
chicken vegetable herb brown rice,87,83,Chicken recipes and food ideas
special chicken stew recipe chicken recipe stew recipe jamie oliver recipe love oliver bright star,87,16,Chicken recipes for dinner
heard christina aguilera flubbed superbowl national anthem night,75,67,Christina Aguilera’s national anthem mishap
superbowl audi commercial,99,31,Super Bowl ad reviews
hatteras jack fishing report rodanthe monday january nailed striper,60,81,Fishing
credit card debt consolidation debt settlement option credit card debt consolidation debt sett,74,57,Consumer debt consolidation
thin link burn fat,55,79,Weight-loss advice and fat-burning foods
volkswagen present best super bowl commercial going second version brill,99,37,Super Bowl commercials
great breaking rahm emanuel ballot supreme court rule,21,46,Rahm Emanuel ballot case
hindu killed suicide bomber strike moscow airport,36,17,Moscow airport bombing
indian navy seizes pirate indian ocean mothership don care tnfisherman,107,58,Pirates and maritime security
knew soy taco law firm sue taco bell claim beef label misleading,20,3,Taco Bell lawsuit
gov andrew cuomo drop budget axe,19,32,Job market and unemployment rate
best photo day sundance swag edition eminem chuck dueces best pic,96,23,Sundance Film Festival
amazon acai berry weight loss expectation acai berry amazon named super fruit cl,55,9,Weight-loss diets and acai berry
post tsa unveils generic body scan usa today big si fascism tsa,25,24,TSA body scanners
christina aguilera wrong lyric usa national anthem superbowl,75,67,Christina Aguilera’s national anthem mishap
judge rule health law law mandatory insurance hcr ppaca aca,22,35,Healthcare reform legal battles
employment gaining speed jobless rate washington reuters employment shifted higher,26,80,Job market and unemployment rate
king speech boardwalk empire score sag award big weekend king spe,88,45,Awards season: Oscars and SAG
time journalist obama press secretary news,44,26,Social media for politics
hey dont text drive sake ur life sake love yall,104,61,Safe driving pledges
financial aid pry money cold stingy finger financial aid office appeal fafsa finan,97,57,College scholarships and financial aid
brain fluid buildup delay giffords rehab rep gabrielle giffords transferred houston brain,37,29,Charlie Sheen controversies
il supreme court imposed stay political execution rahm emanuel ballot,21,46,Rahm Emanuel ballot case
rahm stay chi mayoral ballot dbl standard city residency rule public worker nytimes,21,46,Rahm Emanuel ballot case
well lunch lawsuit taco bell claim meat mixture beef,20,3,Taco Bell lawsuit
red light camera save life budget star ledger editorial board star ledger file photored ligh,64,82,Red-light cameras and studies
recipe roast chicken warm lemon herb potato salad recipe day,87,83,Chicken recipes for dinner
winning large stock market winning large stock market individual trading stock,92,73,Stock market and investing
fishing exclusive popular sporting wft newssimple sharp sp,60,28,Fishing
penn badgley snowboarding sundance penn badgley snowboard burton snowboard park city mountai,96,59,Celebrity gossip and pop culture
blog post tunkwa leighton lake ice fishing report,60,8,Fishing events and gear
yesterday brilliant deserves oscar gold hooper top dga prize king speech abc,88,39,Awards season: Oscars and SAG
breaking news oprah winfrey reveals secret sister filed oprah winfrey,13,0,Oprah Winfrey
twitter tweet perennial plant january bloomnflower recipe recipe,87,63,Chicken recipes and food ideas
suu kyi party urge west maintain myanmar sanction reuters reuters party myanmar pro,110,87,Myanmar sanctions and political transitions
youtube video chevrolet camaro superbowl commercial al chevrolet hd,99,15,Super Bowl commercials
bbc news domodedovo airport blast rock moscow main airport breakingnews moscow,36,17,Moscow airport bombing
swift debt relief valuable tip debt consolidation consider,74,57,Consumer debt consolidation
watched pugattack hilarious superbowl commercial check vote attack,99,84,Super Bowl ad reviews
doritos son funny as superbowl commercial wack,99,68,Epic Doritos Superbowl commercials
egypt crack foreign journalist guardian jan,66,25,Egypt-related political news
youtube mercedes benz super bowl commercial,99,48,Mercedes Benz and Kia Superbowl commercials
facebook privacy setting user,95,53,Facebook and privacy settings
bigger boat albert pujols biggest fish catch cardinal chum reel,60,82,Fishing events and gear
starbucks trenta hold entire bottle wine,62,19,Starbucks Trenta cup controversy
interesting deep sea fishing knowing tide outdoors,60,28,Fishing
yemen call emergency meeting ahead protest yemen president ali abdullah saleh called emergen,79,21,Yemen protest news
acai berry product real wait loss brand question fezangee acai berry pro,55,9,Weight-loss diets and acai berry
tmz sez james franco sundance drag filed james franco hitechcj,96,30,Sundance Film Festival
obama campaign playbook promote agenda social medium,45,40,Social media for politics
best commercial hold closer tiny dancer budlight superbowl,99,15,Budweiser and beer-related ads
john orr award university edinburgh uk beasiswa scholarship,97,78,Scholarships and international awards
ohhh kardashians will fav stupid,72,0,Kardashians
oscar king speech true grit lead nomination examiner,88,39,Awards season: Oscars and SAG
health care law obama administration vowing move full speed ahead implementa,22,47,Healthcare reform legal battles
protect laptop theft,108,10,Identity theft concerns
judge ruling health reform law radical judicial activism amok overturned medi,22,35,Healthcare reform legal battles
oscar nomination king speech earns nod true grit,88,39,Awards season: Oscars and SAG
happy friday volkswagen super bowl ad ur fav superbowl ad time,99,37,Super Bowl commercials
screen actor guild award nomination full list peer review academy award ch,88,33,Awards season: Oscars and SAG
watch sony ericsson superbowl commercial youtube ad blitz channel,99,84,Super Bowl commercials
catch best buy buyback extended cut full info,85,1,Electronics and gadgets
king rsquo speech oscar nod daily beast,88,39,Awards season: Oscars and SAG
imported detroit best commercial superbowl chrysler,99,5,Super Bowl commercials
crowley expands scholarship program nicaragua exemplary student awarded scholarship,97,75,Scholarships and international awards
super bowl recipe gumbo fried chicken grilled salmon ciabatta patch top notch recipe,87,16,Chicken recipes for dinner
keeping wit kardashians mystery hollywood dead,72,88,Kardashians
reading court rahm emanuel eligible chicago mayor nytimes illinois supreme court,21,46,Rahm Emanuel ballot case
explosion rock domodedovo moscow busiest airport injured,36,17,Moscow airport bombing
tech hack facebook unlocks security facebook adding security feature pair,95,38,Facebook and privacy settings
don text drive remember,104,61,Safe driving pledges
recognized supreme court harmful organic sector organic,89,18,Healthcare reform legal battles
tackle buy fishing fishing,60,81,Fishing events and gear
caught criminal mind finally work castle watch time watch ncis true love,77,55,Crime-solving TV shows
sky news charlie sheen enters rehab hospital well,68,12,Charlie Sheen controversies
fly fishing largemouth bass tip manual fly fishing largemouth bass tip lisa gove break st,60,81,Fishing events and gear
cuomo cut spending budget plan,19,32,Job market and unemployment rate
lady army health initiative model fitness nutrition usa today,65,47,Lady Michelle Obama fitness campaign
reporter egypt broad assault,66,25,Egypt-related political news
supreme court put rahm emanuel ballot,21,46,Rahm Emanuel ballot case
multiple concussion raise teen athlete health risk medline,84,49,Concussions and sports injuries
apple disclose succession plan ceo steve job influential proxy advisory firm i report,106,51,Steve Jobs’ health and impact on Apple
countdown rahmageddon illinois supreme court voted unanimously rahm emanuel,21,46,Rahm Emanuel ballot case
deadly red light camera return va,64,36,Red-light cameras and studies
read open letter michael steele chairman republican national committee rnc tcot,100,56,RNC and Ronald Reagan celebrations
cutest superbowl commercial darth vader,99,84,Super Bowl commercials
wine problem solved starbucks trenta cup hold entire bottle wine,62,19,Starbucks Trenta cup controversy
keith olbermann join current tv report,30,62,Keith Olbermann’s move to Current TV
st augustine travel guide florida fishing licence online travel florida usa tour tourism news vacation tip,60,28,Fishing events and gear
somali pirate killed south korea rescue freighter crew south korean commando secure boat,107,58,Pirates and maritime security
open golf djokovic murray australian open title cbc,71,60,Australian Open tennis championship
data privacy day roundup add ons tool tip protect online,108,53,Facebook and privacy settings
usa hockey considering proposal increase safety,84,11,Concussions and sports injuries
looter smashed egypt national museum damaged priceless artifact picture,10,7,Egyptian protests and museum protection
acai berry chocolate tasting weight loss diet plan adi news scientifically prov,55,71,Weight-loss diets and acai berry
reel report bass bite best thing going absence fishing graphic today good,60,81,Fishing events and gear
foot snow hour chicago latest blizzard warning don travel stay indoors chicago breaking news,57,43,Chicago blizzard: Historic snowstorm
harry potter ftw complete list annual academy award nomination oscar,88,33,Awards season: Oscars and SAG
steven wright year fishing salvador dali dotted caught fish,60,81,Fishing
motorola xoom superbowl ad reference,99,41,Motorola Xoom Super Bowl ad
doritos creep best commercial superbowl,99,68,Epic Doritos Superbowl commercials
meet jay carney guy white house press secretary,44,26,Social media for politics
popular superbowl commercial superbowl view feb fb share tweet,99,84,Super Bowl ad reviews
georgia hb immigration reform bill creates staggering cost taxpayer tweak existing law,82,32,Fast food and immigration policies
channel cat north american fly fishing forum dual purpose thread figure post,60,81,Fishing events and gear
global cio apple face mounting pressure steve job succession plan,106,51,Steve Jobs’ health and impact on Apple
catch fish banjo minnow,60,81,Fishing
chat director star rite anthony hopkins english grandfather,14,82,Movies on exorcism
spending budget gov cuomo unveils today will include substantial cut hundred,19,32,Job market and unemployment rate
identity theft cost infographic,108,10,Identity theft concerns
texting driving don mom,104,61,Safe driving pledges
christina aguilera mess star spangled banner super bowl dumb bitch,75,65,Christina Aguilera’s national anthem mishap
pressure grows myanmar sanction afp,110,87,Myanmar sanctions and political transitions
watch bud light superbowl commercial youtube ad blitz channel,99,15,Budweiser and beer-related ads
murray play final pressure,71,60,Australian Open tennis championship
acai berry juice drinking weight loss juice will help,55,27,Weight-loss advice and fat-burning foods
nightt twitterlandd remember text wait shawty lt,104,61,Don’t text and drive campaigns
good fishing tip finding fish,60,28,Fishing events and gear
stock climb merger deal stock boost onslaught corporate merger market open monday,92,57,Stock market and investing
guardian journalist arrested beaten alongside protester egypt secretly record ordeal,66,25,Egypt-related political news
cairo building adjacent egypt national museum priceless collection pheoronic art entirely fire,10,7,Egyptian protests and museum protection
giffords surprising doctor hospital icu exercise wounded rep gabrielle giffords,37,29,Healthcare reform legal battles
bringing tear message heart don text drive,104,61,Safe driving pledges
shredded bbq chicken slider creamy cole slaw recipe,87,16,Chicken recipes and food ideas
ancho chicken tortilla soup ancho chicken tortilla soup feel good favorite cozy meal,87,83,Chicken recipes for dinner
best super bowl commercial year bridgestone beaver,99,84,Super Bowl commercials
justin bieber jon stewart exchange role mtv news quote day,63,41,Celebrity gossip and pop culture
read spending hvagents info,19,32,Facebook and privacy settings
southwest fly fishing magazine,60,66,Southwest fly fishing and trout discussions
yell cast jr hartley ad digital era author search fly fishing book dj,60,81,Fishing events and gear
news growing anti regime protest spread yemen,79,21,Middle East protests
gov cuomo budget propsal slash nyc york city facing billion hit result,19,32,Job market and unemployment rate
race santa anita friday horse betting money race santa anita park friday janu,94,73,Horse racing and betting tips
academic merit scholarship melbourne institute business technology indonesia beasiswa,97,78,Scholarships and international awards
facebook privacy setting user,95,53,Facebook and privacy settings
taco bell fight beef lawsuit taco bell launching advertising campaign today fight,20,3,Taco Bell lawsuit
chicken rice melange recipe chicken recipe cooking,87,16,Chicken recipes for dinner
mnh photo sundance film festival,96,23,Sundance Film Festival
texting working shouldn text driving talk cell phone argue dog,104,61,Safe driving pledges
bass pro shop rapala pro bass fishing rod peripheral rapala pro bass fishing rod peripheral list,60,81,Fishing
wild sport fishing sailfish mutton grouper shark wild sport fishing,60,28,Fishing
yemen president ali abdullah saleh quit,79,14,Yemen protest news
reading learn well knew dont text drive time donttextdrive,104,61,Safe driving pledges
wisconsin detector law family duplex,49,34,Identity theft concerns
waiting tasteless violent pepsi tribute ronald reagan commercial superbowl,99,44,Super Bowl commercials
salty bacon creamy avocado succulent chicken classic delicious salad,87,83,Chicken recipes and food ideas
oscar nomination nolan snubbed king speech roll washington post,88,39,Awards season: Oscars and SAG
imdb firth portman king speech triumph sag award,88,45,Awards season: Oscars and SAG
news fishing derby today lake neshonoc west salem friend lake neshonoc ice day fishing der,60,8,Fishing events and gear
cpj egypt instigates medium blackout police target journalist,66,25,Egypt-related political news
love finding stuff acai berry juice drinking weight loss lookin sally,55,9,Weight loss and acai berry products
thousand yemeni call president quit thousand yemeni demonstrated capital thursday,79,22,Yemen protest news
acai berry supplement help weight loss bamadems reason acai ambria dealcenter,55,27,Weight loss and acai berry products
doesn kim kardashian,72,88,Kim Kardashian’s social presence
bud light good start superbowl,99,34,Budweiser and beer-related ads
health acai berry effective colon cleanse ingredient acai berry rightly desc,55,27,Weight-loss diets and acai berry
michael johnston colorado legislator state tuition illegal immigrant proposed necn,82,26,Fast food and immigration policies
splc report examines motivation effect anti immigrant law local state level immigration,82,26,Fast food and immigration policies
case missed christina aguilera butchered national anthem,75,65,Christina Aguilera’s national anthem mishap
identity theft cost infographic online fraud crime rise mo,108,10,Identity theft concerns
potential replacement steve job tech idea steve job absent app,106,51,Steve Jobs’ health and impact on Apple
teen told wont text drive donor yeah sad reading photo caption choked,104,42,Safe driving pledges
apple account percent smartphone market profit,81,1,Electronics and gadgets
energy conservation tip south hill electric heating cooling,27,77,Energy saving tips
ventura strike lawsuit tsa iavian,25,56,Jesse Ventura vs TSA lawsuit
bishop exorcist praise exorcism movie catholic culture washington postbishop exorcist praise exorci,14,82,Movies on exorcism
going text driving,104,61,Safe driving pledges
kardashian love yu sooooo,72,55,Kardashians
christina aguilera mess national anthem super bowl,75,67,Christina Aguilera’s national anthem mishap
florida car accident attorney texting ban state road safer,104,69,Safe driving pledges
postdoctoral fellowship cancer duke university usa beasiswa scholarship,97,78,Scholarships and international awards
fishing spot small fish soft bait,60,28,Fishing
king speech oscar nomination ridiculous state union isn till tonight,88,39,Awards season: Oscars and SAG
